Angle,NE_Raw_1,NE_Needle_1,NE_Rod_1,NE_Small_Square_1,NE_Raw_2,NE_Needle_2,NE_Rod_2,NE_Small_Square_2
4.72683,0.023872679,0.273730684,0.086711712,0.19434629,0.044630404,0.248091603,0.125560538,0.163179916
4.74654,0.023872679,0.260485651,0.074324324,0.19434629,0.043235704,0.22519084,0.10612855,0.148535565
4.76625,0.01193634,0.229580574,0.065315315,0.190812721,0.039051604,0.194656489,0.09715994,0.171548117
4.78595,0.026525199,0.231788079,0.070945946,0.176678445,0.041143654,0.217557252,0.095665172,0.146443515
4.80566,0.018567639,0.242825607,0.083333333,0.180212014,0.041143654,0.183206107,0.11509716,0.138075314
4.82537,0.022546419,0.214128035,0.060810811,0.183745583,0.036262204,0.213740458,0.107623318,0.190376569
4.84507,0.01193634,0.187637969,0.072072072,0.197879859,0.044630404,0.229007634,0.134529148,0.146443515
4.86478,0.014588859,0.200883002,0.068693694,0.176678445,0.028591353,0.229007634,0.109118087,0.163179916
4.88449,0.019893899,0.247240618,0.072072072,0.190812721,0.037656904,0.240458015,0.112107623,0.152719665
4.90419,0.021220159,0.271523179,0.054054054,0.208480565,0.039051604,0.263358779,0.091180867,0.167364017
4.9239,0.014588859,0.242825607,0.061936937,0.236749117,0.042538354,0.202290076,0.103139013,0.173640167
4.94361,0.013262599,0.209713024,0.086711712,0.183745583,0.037656904,0.175572519,0.116591928,0.171548117
4.96331,0.017241379,0.222958057,0.061936937,0.19434629,0.037656904,0.229007634,0.101644245,0.152719665
4.98302,0.017241379,0.218543046,0.064189189,0.219081272,0.042538354,0.290076336,0.103139013,0.156903766
5.00273,0.017241379,0.229580574,0.068693694,0.151943463,0.034867503,0.251908397,0.094170404,0.150627615
5.02243,0.018567639,0.233995585,0.063063063,0.197879859,0.045327755,0.236641221,0.077727952,0.154811715
5.04214,0.00795756,0.216335541,0.066441441,0.173144876,0.043933054,0.229007634,0.125560538,0.150627615
5.06184,0.019893899,0.214128035,0.076576577,0.169611307,0.039051604,0.297709924,0.113602392,0.138075314
5.08155,0.025198939,0.222958057,0.070945946,0.173144876,0.031380753,0.194656489,0.094170404,0.144351464
5.10126,0.021220159,0.209713024,0.045045045,0.236749117,0.034170153,0.248091603,0.083707025,0.119246862
5.12096,0.018567639,0.205298013,0.070945946,0.190812721,0.046025105,0.209923664,0.116591928,0.138075314
5.14067,0.021220159,0.27593819,0.074324324,0.176678445,0.040446304,0.213740458,0.094170404,0.152719665
5.16038,0.014588859,0.262693157,0.060810811,0.219081272,0.040446304,0.22519084,0.100149477,0.135983264
5.18008,0.01061008,0.236203091,0.060810811,0.187279152,0.032078103,0.217557252,0.092675635,0.167364017
5.19979,0.00928382,0.218543046,0.076576577,0.190812721,0.036262204,0.160305344,0.100149477,0.161087866
5.2195,0.01193634,0.229580574,0.061936937,0.151943463,0.039051604,0.190839695,0.092675635,0.167364017
5.2392,0.015915119,0.240618102,0.056306306,0.16254417,0.033472803,0.229007634,0.094170404,0.140167364
5.25891,0.015915119,0.207505519,0.063063063,0.166077739,0.038354254,0.202290076,0.098654709,0.127615063
5.27862,0.018567639,0.203090508,0.043918919,0.169611307,0.046722455,0.236641221,0.101644245,0.150627615
5.29832,0.015915119,0.207505519,0.051801802,0.155477032,0.035564854,0.167938931,0.094170404,0.121338912
5.31803,0.015915119,0.21192053,0.05518018,0.159010601,0.034867503,0.221374046,0.070254111,0.146443515
5.33774,0.013262599,0.200883002,0.064189189,0.159010601,0.027894003,0.236641221,0.086696562,0.142259414
5.35744,0.015915119,0.233995585,0.039414414,0.16254417,0.036959554,0.251908397,0.092675635,0.094142259
5.37715,0.023872679,0.200883002,0.057432432,0.166077739,0.037656904,0.209923664,0.091180867,0.106694561
5.39686,0.013262599,0.233995585,0.05518018,0.155477032,0.032775453,0.198473282,0.094170404,0.106694561
5.41656,0.023872679,0.229580574,0.057432432,0.176678445,0.037656904,0.198473282,0.085201794,0.146443515
5.43627,0.00795756,0.21192053,0.041666667,0.169611307,0.039051604,0.209923664,0.082212257,0.156903766
5.45597,0.017241379,0.240618102,0.046171171,0.155477032,0.035564854,0.232824427,0.076233184,0.127615063
5.47568,0.01193634,0.203090508,0.056306306,0.148409894,0.029288703,0.160305344,0.065769806,0.140167364
5.49539,0.014588859,0.200883002,0.04954955,0.176678445,0.032775453,0.190839695,0.052316891,0.121338912
5.51509,0.015915119,0.203090508,0.04954955,0.148409894,0.034170153,0.171755725,0.068759342,0.123430962
5.5348,0.01193634,0.229580574,0.041666667,0.208480565,0.029288703,0.145038168,0.10612855,0.117154812
5.55451,0.019893899,0.203090508,0.066441441,0.144876325,0.036959554,0.179389313,0.101644245,0.094142259
5.57421,0.021220159,0.214128035,0.054054054,0.137809187,0.038354254,0.198473282,0.101644245,0.10460251
5.59392,0.015915119,0.227373068,0.042792793,0.130742049,0.029986053,0.190839695,0.100149477,0.121338912
5.61363,0.01193634,0.185430464,0.051801802,0.123674912,0.035564854,0.194656489,0.083707025,0.108786611
5.63333,0.017241379,0.196467991,0.048423423,0.169611307,0.035564854,0.20610687,0.085201794,0.09832636
5.65304,0.018567639,0.205298013,0.054054054,0.155477032,0.029288703,0.194656489,0.082212257,0.127615063
5.67275,0.017241379,0.200883002,0.052927928,0.183745583,0.032078103,0.187022901,0.076233184,0.131799163
5.69245,0.00795756,0.158940397,0.039414414,0.144876325,0.025104603,0.160305344,0.07922272,0.127615063
