     Angle,NE_Needle
15.5851,0.079470199
15.6048,0.06401766
15.6245,0.070640177
15.6442,0.061810155
15.6639,0.050772627
15.6836,0.052980132
15.7034,0.061810155
15.7231,0.041942605
15.7428,0.055187638
15.7625,0.04415011
15.7822,0.066225166
15.8019,0.033112583
15.8216,0.04415011
15.8413,0.035320088
15.861,0.046357616
15.8807,0.066225166
15.9004,0.048565121
15.9201,0.050772627
15.9398,0.06401766
15.9595,0.059602649
15.9792,0.081677704
15.999,0.08388521
16.0187,0.081677704
16.0384,0.072847682
16.0581,0.075055188
16.0778,0.094922737
16.0975,0.105960265
16.1172,0.141280353
16.1369,0.185430464
16.1566,0.176600442
16.1763,0.227373068
16.196,0.242825607
16.2157,0.198675497
16.2354,0.196467991
16.2551,0.169977925
16.2748,0.123620309
16.2945,0.099337748
16.3143,0.079470199
16.334,0.112582781
16.3537,0.114790287
16.3734,0.08388521
16.3931,0.101545254
16.4128,0.090507726
16.4325,0.125827815
16.4522,0.10816777
16.4719,0.12803532
16.4916,0.092715232
16.5113,0.112582781
16.531,0.121412804
16.5507,0.116997792
16.5704,0.114790287
16.5901,0.12803532
16.6099,0.103752759
16.6296,0.10816777
16.6493,0.08388521
16.669,0.121412804
16.6887,0.099337748
16.7084,0.068432671
16.7281,0.079470199
16.7478,0.066225166
16.7675,0.097130243
16.7872,0.08388521
16.8069,0.086092715
16.8266,0.037527594
16.8463,0.066225166
16.866,0.068432671
16.8857,0.075055188
16.9055,0.086092715
16.9252,0.072847682
16.9449,0.068432671
16.9646,0.072847682
16.9843,0.105960265
17.004,0.094922737
17.0237,0.101545254
17.0434,0.130242826
17.0631,0.110375276
17.0828,0.101545254
17.1025,0.150110375
17.1222,0.225165563
17.1419,0.258278146
17.1616,0.324503311
17.1813,0.419426049
17.201,0.543046358
17.2208,0.777041943
17.2405,0.858719647
17.2602,0.91611479
17.2799,1
17.2996,0.995584989
17.3193,0.920529801
17.339,0.858719647
17.3587,0.6799117
17.3784,0.507726269
17.3981,0.362030905
17.4178,0.209713024
17.4375,0.178807947
17.4572,0.154525386
17.4769,0.121412804
17.4966,0.125827815
17.5164,0.101545254
17.5361,0.092715232
17.5558,0.116997792
17.5755,0.099337748
17.5952,0.070640177
17.6149,0.101545254
17.6346,0.10816777
17.6543,0.08388521
17.674,0.092715232
17.6937,0.075055188
17.7134,0.077262693
17.7331,0.097130243
17.7528,0.075055188
17.7725,0.075055188
17.7922,0.055187638
17.812,0.061810155
17.8317,0.070640177
17.8514,0.052980132
17.8711,0.075055188
17.8908,0.055187638
17.9105,0.050772627
17.9302,0.066225166
17.9499,0.048565121
17.9696,0.086092715
17.9893,0.041942605
18.009,0.077262693
18.0287,0.048565121
18.0484,0.052980132
18.0681,0.059602649
18.0878,0.048565121
18.1075,0.068432671
18.1273,0.046357616
18.147,0.075055188
18.1667,0.070640177
18.1864,0.055187638
18.2061,0.06401766
18.2258,0.059602649
18.2455,0.088300221
18.2652,0.070640177
18.2849,0.057395143
18.3046,0.103752759
18.3243,0.094922737
18.344,0.097130243
18.3637,0.116997792
18.3834,0.167770419
18.4031,0.119205298
18.4229,0.169977925
18.4426,0.141280353
18.4623,0.150110375
18.482,0.154525386
18.5017,0.119205298
18.5214,0.125827815
18.5411,0.194260486
18.5608,0.205298013
18.5805,0.273730684
18.6002,0.328918322
18.6199,0.390728477
18.6396,0.454746137
18.6593,0.443708609
18.679,0.540838852
18.6987,0.545253863
18.7184,0.463576159
18.7382,0.397350993
18.7579,0.309050773
18.7776,0.286975717
18.7973,0.291390728
18.817,0.240618102
18.8367,0.209713024
18.8564,0.264900662
18.8761,0.227373068
18.8958,0.273730684
18.9155,0.242825607
18.9352,0.242825607
18.9549,0.167770419
18.9746,0.183222958
18.9943,0.167770419
19.014,0.143487859
19.0338,0.123620309
19.0535,0.17218543
19.0732,0.17218543
19.0929,0.14790287
19.1126,0.161147903
