Angle,NE_Small_Square_2
15.3683,0.039748954
15.3881,0.050209205
15.4078,0.027196653
15.4275,0.037656904
15.4472,0.029288703
15.4669,0.033472803
15.4866,0.035564854
15.5063,0.018828452
15.526,0.025104603
15.5457,0.050209205
15.5654,0.056485356
15.5851,0.039748954
15.6048,0.064853556
15.6245,0.037656904
15.6442,0.054393305
15.6639,0.041841004
15.6836,0.050209205
15.7034,0.052301255
15.7231,0.058577406
15.7428,0.031380753
15.7625,0.020920502
15.7822,0.039748954
15.8019,0.043933054
15.8216,0.052301255
15.8413,0.041841004
15.861,0.046025105
15.8807,0.058577406
15.9004,0.041841004
15.9201,0.056485356
15.9398,0.043933054
15.9595,0.056485356
15.9792,0.048117155
15.999,0.052301255
16.0187,0.056485356
16.0384,0.064853556
16.0581,0.106694561
16.0778,0.144351464
16.0975,0.175732218
16.1172,0.213389121
16.1369,0.223849372
16.1566,0.184100418
16.1763,0.142259414
16.196,0.135983264
16.2157,0.079497908
16.2354,0.069037657
16.2551,0.033472803
16.2748,0.048117155
16.2945,0.062761506
16.3143,0.064853556
16.334,0.071129707
16.3537,0.077405858
16.3734,0.089958159
16.3931,0.085774059
16.4128,0.071129707
16.4325,0.066945607
16.4522,0.071129707
16.4719,0.092050209
16.4916,0.106694561
16.5113,0.108786611
16.531,0.115062762
16.5507,0.09623431
16.5704,0.075313808
16.5901,0.079497908
16.6099,0.069037657
16.6296,0.031380753
16.6493,0.060669456
16.669,0.031380753
16.6887,0.060669456
16.7084,0.056485356
16.7281,0.048117155
16.7478,0.035564854
16.7675,0.043933054
16.7872,0.060669456
16.8069,0.054393305
16.8266,0.050209205
16.8463,0.050209205
16.866,0.037656904
16.8857,0.033472803
16.9055,0.056485356
16.9252,0.052301255
16.9449,0.050209205
16.9646,0.066945607
16.9843,0.050209205
17.004,0.069037657
17.0237,0.083682008
17.0434,0.058577406
17.0631,0.069037657
17.0828,0.064853556
17.1025,0.071129707
17.1222,0.081589958
17.1419,0.106694561
17.1616,0.194560669
17.1813,0.294979079
17.201,0.311715481
17.2208,0.435146444
17.2405,0.479079498
17.2602,0.451882845
17.2799,0.305439331
17.2996,0.234309623
17.3193,0.154811715
17.339,0.127615063
17.3587,0.087866109
17.3784,0.064853556
17.3981,0.048117155
17.4178,0.048117155
17.4375,0.035564854
17.4572,0.062761506
17.4769,0.043933054
17.4966,0.043933054
17.5164,0.058577406
17.5361,0.085774059
17.5558,0.060669456
17.5755,0.081589958
17.5952,0.085774059
17.6149,0.079497908
17.6346,0.077405858
17.6543,0.066945607
17.674,0.048117155
17.6937,0.050209205
17.7134,0.073221757
17.7331,0.035564854
17.7528,0.062761506
17.7725,0.060669456
17.7922,0.060669456
17.812,0.043933054
17.8317,0.069037657
17.8514,0.066945607
17.8711,0.062761506
17.8908,0.043933054
17.9105,0.043933054
17.9302,0.029288703
17.9499,0.043933054
17.9696,0.060669456
17.9893,0.039748954
18.009,0.050209205
18.0287,0.071129707
18.0484,0.054393305
18.0681,0.066945607
18.0878,0.052301255
18.1075,0.054393305
18.1273,0.037656904
18.147,0.056485356
18.1667,0.037656904
18.1864,0.041841004
18.2061,0.064853556
18.2258,0.071129707
18.2455,0.050209205
18.2652,0.077405858
18.2849,0.073221757
18.3046,0.087866109
18.3243,0.077405858
18.344,0.10251046
18.3637,0.112970711
18.3834,0.110878661
18.4031,0.119246862
18.4229,0.117154812
18.4426,0.119246862
18.4623,0.071129707
18.482,0.083682008
18.5017,0.062761506
18.5214,0.10041841
18.5411,0.133891213
18.5608,0.167364017
18.5805,0.186192469
18.6002,0.280334728
18.6199,0.334728033
18.6396,0.309623431
18.6593,0.313807531
18.679,0.238493724
18.6987,0.131799163
18.7184,0.125523013
18.7382,0.087866109
18.7579,0.10460251
18.7776,0.125523013
18.7973,0.171548117
18.817,0.213389121
18.8367,0.20292887
18.8564,0.225941423
18.8761,0.165271967
18.8958,0.138075314
18.9155,0.108786611
18.9352,0.094142259
18.9549,0.110878661
18.9746,0.09832636
18.9943,0.10251046
19.014,0.10460251
19.0338,0.123430962
19.0535,0.089958159
19.0732,0.071129707
19.0929,0.069037657
