     Angle,NE_Rod
14.3239,0.015765766
14.3436,0.019144144
14.3633,0.019144144
14.383,0.025900901
14.4027,0.01463964
14.4224,0.031531532
14.4421,0.024774775
14.4618,0.01463964
14.4816,0.021396396
14.5013,0.012387387
14.521,0.01463964
14.5407,0.02027027
14.5604,0.02027027
14.5801,0.01463964
14.5998,0.011261261
14.6195,0.011261261
14.6392,0.013513514
14.6589,0.016891892
14.6786,0.025900901
14.6983,0.02027027
14.718,0.018018018
14.7377,0.019144144
14.7574,0.022522523
14.7771,0.018018018
14.7969,0.019144144
14.8166,0.02027027
14.8363,0.025900901
14.856,0.021396396
14.8757,0.013513514
14.8954,0.019144144
14.9151,0.015765766
14.9348,0.022522523
14.9545,0.019144144
14.9742,0.022522523
14.9939,0.02027027
15.0136,0.018018018
15.0333,0.018018018
15.053,0.015765766
15.0727,0.02027027
15.0925,0.011261261
15.1122,0.015765766
15.1319,0.019144144
15.1516,0.027027027
15.1713,0.019144144
15.191,0.022522523
15.2107,0.025900901
15.2304,0.011261261
15.2501,0.021396396
15.2698,0.018018018
15.2895,0.016891892
15.3092,0.022522523
15.3289,0.019144144
15.3486,0.025900901
15.3683,0.016891892
15.3881,0.025900901
15.4078,0.024774775
15.4275,0.025900901
15.4472,0.030405405
15.4669,0.016891892
15.4866,0.024774775
15.5063,0.02027027
15.526,0.02027027
15.5457,0.018018018
15.5654,0.021396396
15.5851,0.016891892
15.6048,0.021396396
15.6245,0.024774775
15.6442,0.023648649
15.6639,0.028153153
15.6836,0.018018018
15.7034,0.031531532
15.7231,0.028153153
15.7428,0.023648649
15.7625,0.021396396
15.7822,0.019144144
15.8019,0.028153153
15.8216,0.02027027
15.8413,0.018018018
15.861,0.015765766
15.8807,0.018018018
15.9004,0.016891892
15.9201,0.022522523
15.9398,0.023648649
15.9595,0.024774775
15.9792,0.029279279
15.999,0.022522523
16.0187,0.019144144
16.0384,0.036036036
16.0581,0.031531532
16.0778,0.031531532
16.0975,0.042792793
16.1172,0.061936937
16.1369,0.073198198
16.1566,0.084459459
16.1763,0.100225225
16.196,0.106981982
16.2157,0.105855856
16.2354,0.103603604
16.2551,0.079954955
16.2748,0.06981982
16.2945,0.043918919
16.3143,0.041666667
16.334,0.031531532
16.3537,0.042792793
16.3734,0.036036036
16.3931,0.037162162
16.4128,0.041666667
16.4325,0.043918919
16.4522,0.031531532
16.4719,0.03490991
16.4916,0.043918919
16.5113,0.045045045
16.531,0.054054054
16.5507,0.051801802
16.5704,0.047297297
16.5901,0.064189189
16.6099,0.045045045
16.6296,0.048423423
16.6493,0.048423423
16.669,0.054054054
16.6887,0.043918919
16.7084,0.03490991
16.7281,0.040540541
16.7478,0.032657658
16.7675,0.051801802
16.7872,0.032657658
16.8069,0.038288288
16.8266,0.030405405
16.8463,0.024774775
16.866,0.036036036
